City,State,City and State,CountyID,Population 2020,Violent Crime Total 2020,Property Crime Total 2020
Cedar Bluff,Alabama,"Cedar Bluff, AL",1019,1823,4,36
Centre,Alabama,"Centre, AL",1019,3547,20,124
Daleville,Alabama,"Daleville, AL",1045,5080,16,98
Enterprise,Alabama,"Enterprise, AL",1031,28569,128,715
Eufaula,Alabama,"Eufaula, AL",1005,11568,95,456
Glencoe,Alabama,"Glencoe, AL",1055,5063,10,41
Hokes Bluff,Alabama,"Hokes Bluff, AL",1055,4254,6,33
Jackson,Alabama,"Jackson, AL",1025,4583,29,83
Kimberly,Alabama,"Kimberly, AL",1073,3660,6,20
Leesburg,Alabama,"Leesburg, AL",1019,1014,2,18
Leighton,Alabama,"Leighton, AL",1033,754,12,36
Marion,Alabama,"Marion, AL",1105,3067,5,12
Odenville,Alabama,"Odenville, AL",1115,3915,11,46
Piedmont,Alabama,"Piedmont, AL",1015,4501,23,92
Rainbow City,Alabama,"Rainbow City, AL",1055,9610,6,86
Rogersville,Alabama,"Rogersville, AL",1077,1250,4,29
Saraland,Alabama,"Saraland, AL",1097,14751,30,470
Thomasville,Alabama,"Thomasville, AL",1025,3799,18,112
Anchorage,Alaska,"Anchorage, AK",2020,286388,3472,9872
Bethel,Alaska,"Bethel, AK",2050,6642,93,71
Cordova,Alaska,"Cordova, AK",2261,2161,0,6
Craig,Alaska,"Craig, AK",2198,1268,3,12
Dillingham,Alaska,"Dillingham, AK",2070,2364,22,25
Fairbanks,Alaska,"Fairbanks, AK",2090,30832,260,1276
Haines,Alaska,"Haines, AK",2100,2524,5,23
Homer,Alaska,"Homer, AK",2122,6028,17,101
Juneau,Alaska,"Juneau, AK",2110,31925,296,946
Kenai,Alaska,"Kenai, AK",2122,7885,35,148
Ketchikan,Alaska,"Ketchikan, AK",2130,8307,37,250
Kodiak,Alaska,"Kodiak, AK",2150,5778,33,91
Kotzebue,Alaska,"Kotzebue, AK",2188,3249,22,6
Nome,Alaska,"Nome, AK",2180,3900,164,72
North Pole,Alaska,"North Pole, AK",2090,2090,14,56
Palmer,Alaska,"Palmer, AK",2170,7641,18,84
Petersburg,Alaska,"Petersburg, AK",2195,3259,8,84
Seward,Alaska,"Seward, AK",2122,2806,9,59
Skagway,Alaska,"Skagway, AK",2230,1206,1,0
Soldotna,Alaska,"Soldotna, AK",2122,4782,7,89
Unalaska,Alaska,"Unalaska, AK",2016,4439,9,54
Valdez,Alaska,"Valdez, AK",2261,3841,7,36
Wasilla,Alaska,"Wasilla, AK",2170,11228,78,341
Wrangell,Alaska,"Wrangell, AK",2275,2508,2,12
Apache Junction,Arizona,"Apache Junction, AZ",4021,43385,93,770
Avondale,Arizona,"Avondale, AZ",4013,89338,310,3025
Buckeye,Arizona,"Buckeye, AZ",4013,83608,145,1184
Bullhead City,Arizona,"Bullhead City, AZ",4015,41035,108,1110
Camp Verde,Arizona,"Camp Verde, AZ",4025,11223,39,199
Casa Grande,Arizona,"Casa Grande, AZ",4021,59822,338,1200
Chandler,Arizona,"Chandler, AZ",4013,264071,543,4898
Chino Valley,Arizona,"Chino Valley, AZ",4025,12564,24,122
Clarkdale,Arizona,"Clarkdale, AZ",4025,4433,6,23
Colorado City,Arizona,"Colorado City, AZ",4015,4838,0,0
Coolidge,Arizona,"Coolidge, AZ",4021,13277,80,352
Cottonwood,Arizona,"Cottonwood, AZ",4025,12380,47,478
Douglas,Arizona,"Douglas, AZ",4003,16044,17,395
Eagar,Arizona,"Eagar, AZ",4001,4944,10,29
El Mirage,Arizona,"El Mirage, AZ",4013,36221,106,803
Florence,Arizona,"Florence, AZ",4021,27571,25,73
Gilbert,Arizona,"Gilbert, AZ",4013,259629,284,2798
Glendale,Arizona,"Glendale, AZ",4013,255468,1123,6956
Globe,Arizona,"Globe, AZ",4007,7328,140,469
Goodyear,Arizona,"Goodyear, AZ",4013,89607,199,1922
Hayden,Arizona,"Hayden, AZ",4007,976,6,12
Huachuca City,Arizona,"Huachuca City, AZ",4003,1723,1,18
Jerome,Arizona,"Jerome, AZ",4025,456,1,11
Kingman,Arizona,"Kingman, AZ",4015,31351,124,1106
Lake Havasu City,Arizona,"Lake Havasu City, AZ",4015,56243,105,790
Mammoth,Arizona,"Mammoth, AZ",4021,1709,4,31
Marana,Arizona,"Marana, AZ",4019,50942,39,1165
Maricopa,Arizona,"Maricopa, AZ",4021,53165,67,615
Mesa,Arizona,"Mesa, AZ",4013,527361,1960,9737
Nogales,Arizona,"Nogales, AZ",4023,20026,38,565
Oro Valley,Arizona,"Oro Valley, AZ",4019,46634,27,559
Page,Arizona,"Page, AZ",4005,7546,97,267
Paradise Valley,Arizona,"Paradise Valley, AZ",4013,14859,15,216
Parker,Arizona,"Parker, AZ",4012,3224,7,77
Payson,Arizona,"Payson, AZ",4007,15869,100,332
Peoria,Arizona,"Peoria, AZ",4013,178486,471,2683
Phoenix,Arizona,"Phoenix, AZ",4013,1708960,13646,51089
Pima,Arizona,"Pima, AZ",4009,2580,5,21
