County,State,"County, State",CountyID,Income_2019,Income_2020
Autauga,Alabama,"Autauga, Alabama",1001,"44,368","46,814"
Baldwin,Alabama,"Baldwin, Alabama",1003,"48,270","50,953"
Barbour,Alabama,"Barbour, Alabama",1005,"35,572","37,850"
Bibb,Alabama,"Bibb, Alabama",1007,"31,540","34,300"
Blount,Alabama,"Blount, Alabama",1009,"36,969","38,808"
Bullock,Alabama,"Bullock, Alabama",1011,"28,136","31,944"
Butler,Alabama,"Butler, Alabama",1013,"38,073","39,988"
Calhoun,Alabama,"Calhoun, Alabama",1015,"37,708","40,195"
Chambers,Alabama,"Chambers, Alabama",1017,"36,110","38,508"
Cherokee,Alabama,"Cherokee, Alabama",1019,"36,381","37,869"
Chilton,Alabama,"Chilton, Alabama",1021,"36,471","38,778"
Choctaw,Alabama,"Choctaw, Alabama",1023,"39,097","42,231"
Clarke,Alabama,"Clarke, Alabama",1025,"37,061","40,822"
Clay,Alabama,"Clay, Alabama",1027,"34,185","37,179"
Cleburne,Alabama,"Cleburne, Alabama",1029,"35,905","37,734"
Coffee,Alabama,"Coffee, Alabama",1031,"43,319","45,262"
Colbert,Alabama,"Colbert, Alabama",1033,"38,860","41,941"
Conecuh,Alabama,"Conecuh, Alabama",1035,"33,596","36,908"
Coosa,Alabama,"Coosa, Alabama",1037,"32,548","34,683"
Covington,Alabama,"Covington, Alabama",1039,"35,927","37,930"
Crenshaw,Alabama,"Crenshaw, Alabama",1041,"36,783","38,161"
Cullman,Alabama,"Cullman, Alabama",1043,"41,211","42,659"
Dale,Alabama,"Dale, Alabama",1045,"37,831","40,111"
Dallas,Alabama,"Dallas, Alabama",1047,"37,033","41,195"
DeKalb,Alabama,"DeKalb, Alabama",1049,"33,427","35,100"
Elmore,Alabama,"Elmore, Alabama",1051,"44,561","47,270"
Escambia,Alabama,"Escambia, Alabama",1053,"34,338","37,137"
Etowah,Alabama,"Etowah, Alabama",1055,"37,700","39,852"
Fayette,Alabama,"Fayette, Alabama",1057,"35,856","38,001"
Franklin,Alabama,"Franklin, Alabama",1059,"34,831","37,362"
Geneva,Alabama,"Geneva, Alabama",1061,"36,455","38,358"
Greene,Alabama,"Greene, Alabama",1063,"32,534","35,992"
Hale,Alabama,"Hale, Alabama",1065,"37,825","41,190"
Henry,Alabama,"Henry, Alabama",1067,"43,738","45,409"
Houston,Alabama,"Houston, Alabama",1069,"44,300","47,072"
Jackson,Alabama,"Jackson, Alabama",1071,"38,002","40,089"
Jefferson,Alabama,"Jefferson, Alabama",1073,"56,599","58,424"
Lamar,Alabama,"Lamar, Alabama",1075,"34,549","37,161"
Lauderdale,Alabama,"Lauderdale, Alabama",1077,"38,135","40,729"
Lawrence,Alabama,"Lawrence, Alabama",1079,"35,414","38,098"
Lee,Alabama,"Lee, Alabama",1081,"40,439","42,468"
Limestone,Alabama,"Limestone, Alabama",1083,"44,841","47,695"
Lowndes,Alabama,"Lowndes, Alabama",1085,"41,449","44,921"
Macon,Alabama,"Macon, Alabama",1087,"34,213","37,834"
Madison,Alabama,"Madison, Alabama",1089,"54,169","57,128"
Marengo,Alabama,"Marengo, Alabama",1091,"40,297","43,854"
Marion,Alabama,"Marion, Alabama",1093,"33,433","36,330"
Marshall,Alabama,"Marshall, Alabama",1095,"37,913","40,045"
Mobile,Alabama,"Mobile, Alabama",1097,"40,003","42,823"
Monroe,Alabama,"Monroe, Alabama",1099,"34,489","38,192"
Montgomery,Alabama,"Montgomery, Alabama",1101,"44,597","47,776"
Morgan,Alabama,"Morgan, Alabama",1103,"41,895","44,679"
Perry,Alabama,"Perry, Alabama",1105,"32,198","36,217"
Pickens,Alabama,"Pickens, Alabama",1107,"34,590","36,861"
Pike,Alabama,"Pike, Alabama",1109,"38,057","40,342"
Randolph,Alabama,"Randolph, Alabama",1111,"33,708","35,208"
Russell,Alabama,"Russell, Alabama",1113,"33,796","36,526"
St. Clair,Alabama,"St. Clair, Alabama",1115,"41,015","43,279"
Shelby,Alabama,"Shelby, Alabama",1117,"57,793","59,588"
Sumter,Alabama,"Sumter, Alabama",1119,"32,057","35,310"
Talladega,Alabama,"Talladega, Alabama",1121,"35,717","38,300"
Tallapoosa,Alabama,"Tallapoosa, Alabama",1123,"42,544","45,058"
Tuscaloosa,Alabama,"Tuscaloosa, Alabama",1125,"40,329","42,868"
Walker,Alabama,"Walker, Alabama",1127,"41,976","44,095"
Washington,Alabama,"Washington, Alabama",1129,"37,568","40,371"
Wilcox,Alabama,"Wilcox, Alabama",1131,"33,957","38,273"
Winston,Alabama,"Winston, Alabama",1133,"35,508","38,382"
Petersburg Borough,Alaska,"Petersburg Borough, Alaska",2195,"71,111","72,412"
Apache,Arizona,"Apache, Arizona",4001,"33,844","38,915"
Cochise,Arizona,"Cochise, Arizona",4003,"40,546","45,786"
Coconino,Arizona,"Coconino, Arizona",4005,"48,837","53,036"
Gila,Arizona,"Gila, Arizona",4007,"39,720","44,201"
Graham,Arizona,"Graham, Arizona",4009,"31,179","35,072"
