RegionName,StateName,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020
"Youngstown, OH",Ohio,39099,29625,31300
"Harvey, IL",Illinois,17031,35183,36000
"Trenton, NJ",New Jersey,34021,51833,56450
"Maple Heights, OH",Ohio,39035,58692,70567
"Bay City, MI",Michigan,26017,59150,64300
"Garfield Heights, OH",Ohio,39035,62817,67467
"Cleveland, OH",Ohio,39035,62925,67350
"Granite City, IL",Illinois,17119,65667,65400
"Akron, OH",Ohio,39153,71367,72567
"Euclid, OH",Ohio,39035,72625,77650
"Forest Park, GA",Georgia,13063,73108,96450
"Del City, OK",Oklahoma,40109,73258,85600
"Decatur, IL",Illinois,17115,73833,86450
"Galesburg, IL",Illinois,17095,75767,68850
"Pine Bluff, AR",Arkansas,5069,76300,76967
"Toledo, OH",Ohio,39095,76400,82350
"Ottumwa, IA",Iowa,19179,77258,68800
"Duncan, OK",Oklahoma,40137,77675,84600
"Kinston, NC",North Carolina,37107,77958,70600
"Altoona, PA",Pennsylvania,42013,77983,74000
"Muskegon, MI",Michigan,26121,79375,85933
"Lebanon, PA",Pennsylvania,42075,79550,74000
"Barberton, OH",Ohio,39153,82142,90300
"Lincoln Park, MI",Michigan,26163,82475,95667
"Mattoon, IL",Illinois,17029,83658,97900
"Marion, VA",Virginia,51173,84708,90800
"Mansfield, OH",Ohio,39139,85783,102200
"Defiance, OH",Ohio,39039,86583,88100
"Burton, MI",Michigan,26049,86933,88667
"Eastpointe, MI",Michigan,26099,87183,92767
"Overland, MO",Missouri,29189,87625,88367
"Rock Island, IL",Illinois,17161,88308,93600
"Marion, IN",Indiana,18053,88408,99200
"Piqua, OH",Ohio,39109,89067,71300
"Pekin, IL",Illinois,17179,89317,90667
"South Euclid, OH",Ohio,39035,89908,99850
"Pontiac, IL",Illinois,17105,90075,74600
"Burlington, IA",Iowa,19057,90242,96800
"Chickasha, OK",Oklahoma,40051,90300,104467
"Rockford, IL",Illinois,17201,90408,98100
"Beloit, WI",Wisconsin,55105,91258,96400
"Weirton, WV",West Virginia,54029,91617,82733
"Greenville, OH",Ohio,39037,92175,121067
"Hibbing, MN",Minnesota,27137,92283,95000
"Midwest City, OK",Oklahoma,40109,92992,99367
"Lima, OH",Ohio,39003,93283,95450
"Riverside, OH",Ohio,39113,93317,100533
"Lansing, MI",Michigan,26065,93367,105767
"Alpena, MI",Michigan,26007,93567,101867
"Kalkaska, MI",Michigan,26079,93658,118733
"Hamtramck, MI",Michigan,26163,94300,105467
"Belleville, IL",Illinois,17163,94400,96900
"Hueytown, AL",Alabama,1073,94425,100833
"Fort Dodge, IA",Iowa,19187,94758,83150
"Mancelona, MI",Michigan,26009,95100,93200
"Dixon, IL",Illinois,17103,95117,86900
"Mason City, IA",Iowa,19033,95650,99633
"Rome, NY",New York,36065,95808,116233
"Parkersburg, WV",West Virginia,54107,97108,93400
"West Carrollton, OH",Ohio,39113,97225,85250
"Jacksonville, AR",Arkansas,5119,98500,103800
"Hazel Park, MI",Michigan,26125,98500,120500
"Hazelwood, MO",Missouri,29189,98542,117533
"Oak Grove, KY",Kentucky,21047,99167,113200
"Peoria, IL",Illinois,17143,99225,114567
"Port Huron, MI",Michigan,26147,99375,100367
"Springfield, OH",Ohio,39023,100167,102250
"Whitehall, OH",Ohio,39049,100692,120400
"Lauderhill, FL",Florida,12011,100842,110500
"East Moline, IL",Illinois,17161,100867,106667
"Memphis, TN",Tennessee,47157,100875,107200
"Roseville, MI",Michigan,26099,100992,106467
"Montgomery, AL",Alabama,1101,101533,119650
"Florissant, MO",Missouri,29189,101675,114000
"Westwego, LA",Louisiana,22051,102092,105700
"Shelby, OH",Ohio,39139,102117,96600
"Marinette, WI",Wisconsin,55075,102417,112200
"Michigan City, IN",Indiana,18091,102475,108433
"Toccoa, GA",Georgia,13257,102475,114867
"Taylor, MI",Michigan,26163,102642,110200
"Canton, OH",Ohio,39151,102850,121550
"Douglas, GA",Georgia,13069,103183,117267
"Taft, CA",California,6029,103483,122600
"East Rochester, NY",New York,36055,103850,101267
"Fremont, OH",Ohio,39143,103917,98450
"Owosso, MI",Michigan,26155,104025,115400
"Salem, OH",Ohio,39029,104250,93233
"Hammond, IN",Indiana,18089,104367,115467
"Moline, IL",Illinois,17161,104600,109033
"Lemay, MO",Missouri,29189,104625,119400
"Covington, KY",Kentucky,21117,105100,129033
"North Little Rock, AR",Arkansas,5119,105808,132500
"Austin, MN",Minnesota,27099,105908,112600
"Boardman, OH",Ohio,39099,106000,100800
"Washington Court House, OH",Ohio,39047,106333,113800
"Geneva, OH",Ohio,39007,106342,115900
"Big Rapids, MI",Michigan,26107,106775,119133
"Battle Creek, MI",Michigan,26025,107075,113267
"Decatur, IN",Indiana,18001,107575,122633
"Columbus, GA",Georgia,13215,107733,120900
"Newton, IA",Iowa,19099,107800,112350
"Cleveland Heights, OH",Ohio,39035,107933,114933
"Bradley, IL",Illinois,17091,108317,96667
"Erie, PA",Pennsylvania,42049,108367,113033
"Crestwood, IL",Illinois,17031,108750,116600
