,CountyID,AverageSalesPrice2019,AverageSalesPrice2020,Population 2019,Violent Crime Total 2019,Property Crime Total 2019,Population 2020,Violent Crime Total 2020,Property Crime Total 2020,Income_2019,Income_2020
0,26017.0,59150.0,64300.0,32793.0,271.0,654.0,32485.0,276.0,500.0,43554.0,47786.0
4,19179.0,77258.0,68800.0,24488.0,134.0,1009.0,24293.0,230.0,949.0,39576.0,42889.0
5,40137.0,77675.0,84600.0,22296.0,37.0,733.0,22226.0,42.0,895.0,44182.0,46027.0
9,51173.0,84708.0,90800.0,5593.0,24.0,224.0,5515.0,25.0,156.0,36800.0,40220.0
10,39039.0,86583.0,88100.0,16601.0,22.0,225.0,16576.0,25.0,235.0,41905.0,45385.0
14,54029.0,91617.0,82733.0,18296.0,11.0,88.0,18111.0,12.0,24.0,43962.0,47007.0
15,39037.0,92175.0,121067.0,2006.0,0.0,9.0,12549.0,28.0,186.0,44202.0,48088.0
16,39003.0,93283.0,95450.0,36653.0,259.0,1493.0,2154.0,0.0,22.0,43268.0,46500.0
17,26007.0,93567.0,101867.0,9901.0,58.0,159.0,9900.0,41.0,154.0,41212.0,45685.0
18,26079.0,93658.0,118733.0,2086.0,1.0,24.0,2103.0,7.0,20.0,36085.0,41545.0
19,19187.0,94758.0,83150.0,23973.0,101.0,724.0,23755.0,180.0,827.0,46562.0,48862.0
20,26009.0,95100.0,93200.0,1618.0,0.0,0.0,1613.0,0.0,0.0,48432.0,52490.0
22,19033.0,95650.0,99633.0,26976.0,176.0,789.0,26811.0,114.0,854.0,50746.0,53643.0
24,21047.0,99167.0,113200.0,30895.0,90.0,1083.0,30532.0,89.0,930.0,39298.0,42884.0
26,39023.0,100167.0,102250.0,59128.0,292.0,2992.0,58696.0,338.0,3014.0,41625.0,45363.0
27,39139.0,102117.0,96600.0,46418.0,187.0,1996.0,9002.0,26.0,128.0,40313.0,43928.0
28,55075.0,102417.0,112200.0,10569.0,11.0,184.0,10497.0,26.0,197.0,46320.0,49557.0
33,39029.0,104250.0,93233.0,11644.0,22.0,341.0,11538.0,16.0,327.0,39387.0,42771.0
35,27099.0,105908.0,112600.0,25224.0,54.0,487.0,25267.0,70.0,402.0,46221.0,50537.0
36,39047.0,106333.0,113800.0,14150.0,39.0,504.0,14076.0,38.0,377.0,40049.0,46261.0
38,26107.0,106775.0,119133.0,10389.0,26.0,135.0,10355.0,36.0,97.0,33868.0,37579.0
39,26025.0,107075.0,113267.0,60607.0,568.0,1969.0,60479.0,540.0,1569.0,40428.0,44729.0
42,19099.0,107800.0,112350.0,1736.0,1.0,3.0,15176.0,62.0,247.0,43692.0,46473.0
44,47171.0,108900.0,139300.0,5826.0,30.0,89.0,5901.0,14.0,67.0,37152.0,39357.0
45,37157.0,109117.0,116800.0,14773.0,88.0,513.0,14799.0,87.0,430.0,38057.0,40672.0
46,26021.0,109900.0,116233.0,11106.0,86.0,366.0,11102.0,74.0,328.0,48231.0,52395.0
48,5033.0,110717.0,137267.0,23800.0,117.0,752.0,23779.0,124.0,701.0,33837.0,35919.0
51,47133.0,113542.0,80533.0,4014.0,12.0,65.0,4046.0,13.0,82.0,34877.0,37105.0
52,39091.0,113683.0,130733.0,13145.0,25.0,202.0,13240.0,9.0,184.0,44189.0,48471.0
56,36023.0,114425.0,129967.0,18655.0,55.0,325.0,18615.0,49.0,514.0,41412.0,45776.0
57,39119.0,115383.0,118933.0,25346.0,89.0,1071.0,25136.0,81.0,874.0,42506.0,46070.0
58,47077.0,115792.0,123550.0,7723.0,45.0,238.0,7915.0,29.0,202.0,37241.0,39940.0
59,45031.0,115892.0,133533.0,7524.0,108.0,668.0,7519.0,88.0,450.0,39085.0,41928.0
60,21235.0,116233.0,135400.0,7255.0,9.0,133.0,7190.0,8.0,141.0,34331.0,38256.0
62,19127.0,116342.0,123750.0,27002.0,105.0,674.0,26564.0,128.0,470.0,43722.0,47696.0
65,37111.0,118525.0,102100.0,7837.0,12.0,419.0,7861.0,15.0,439.0,35086.0,37858.0
67,26051.0,119583.0,127667.0,2880.0,18.0,48.0,2887.0,20.0,40.0,37307.0,40772.0
68,39069.0,120017.0,111300.0,8188.0,23.0,186.0,8148.0,19.0,225.0,46216.0,50752.0
69,55031.0,120483.0,110500.0,25967.0,72.0,1101.0,25845.0,48.0,1011.0,44251.0,45962.0
70,5071.0,120492.0,112300.0,9813.0,29.0,240.0,9829.0,33.0,247.0,28774.0,30728.0
71,40147.0,120600.0,120233.0,36502.0,111.0,1145.0,36183.0,88.0,1144.0,59436.0,58010.0
72,26149.0,120667.0,125833.0,10779.0,44.0,310.0,10831.0,73.0,260.0,39092.0,43818.0
73,20209.0,121633.0,138000.0,7850.0,20.0,150.0,4503.0,27.0,134.0,34371.0,36961.0
74,5131.0,122058.0,135700.0,88041.0,863.0,5127.0,88071.0,1031.0,4871.0,43310.0,45586.0
75,29091.0,122367.0,131700.0,12284.0,52.0,709.0,12331.0,48.0,641.0,35152.0,37414.0
77,37195.0,122892.0,135567.0,49344.0,220.0,1545.0,49486.0,270.0,1439.0,40260.0,43111.0
78,21167.0,123200.0,149267.0,8509.0,9.0,115.0,8553.0,9.0,127.0,37891.0,41025.0
79,26101.0,123258.0,154800.0,6103.0,23.0,99.0,6103.0,22.0,112.0,40663.0,44382.0
80,45085.0,123525.0,143867.0,39546.0,418.0,1796.0,39542.0,491.0,1459.0,39812.0,43003.0
81,48099.0,123542.0,135600.0,32693.0,129.0,691.0,33333.0,144.0,712.0,35551.0,38222.0
82,40153.0,123542.0,120433.0,12195.0,31.0,253.0,12143.0,31.0,312.0,38420.0,40710.0
85,19183.0,125125.0,114533.0,7315.0,48.0,132.0,7227.0,44.0,155.0,60857.0,59565.0
86,13153.0,125242.0,135100.0,76623.0,420.0,3609.0,78508.0,495.0,3154.0,43847.0,46579.0
90,26023.0,126108.0,128300.0,12098.0,47.0,275.0,12076.0,40.0,253.0,37942.0,42356.0
91,5145.0,126125.0,126000.0,23873.0,199.0,1042.0,23742.0,206.0,983.0,37110.0,39598.0
92,13213.0,126275.0,121050.0,917.0,0.0,14.0,903.0,0.0,4.0,31148.0,33841.0
93,39051.0,127375.0,126400.0,7428.0,14.0,142.0,7411.0,9.0,127.0,47145.0,50349.0
