GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US01003,"Baldwin County, Alabama",77978
0500000US01015,"Calhoun County, Alabama",45986
0500000US01043,"Cullman County, Alabama",31450
0500000US01049,"DeKalb County, Alabama",23776
0500000US01051,"Elmore County, Alabama",28246
0500000US01055,"Etowah County, Alabama",39031
0500000US01069,"Houston County, Alabama",38571
0500000US01073,"Jefferson County, Alabama",258192
0500000US01077,"Lauderdale County, Alabama",36791
0500000US01081,"Lee County, Alabama",55520
0500000US01083,"Limestone County, Alabama",32106
0500000US01089,"Madison County, Alabama",135450
0500000US01095,"Marshall County, Alabama",33802
0500000US01097,"Mobile County, Alabama",156755
0500000US01101,"Montgomery County, Alabama",90244
0500000US01103,"Morgan County, Alabama",46221
0500000US01115,"St. Clair County, Alabama",32143
0500000US01117,"Shelby County, Alabama",75058
0500000US01121,"Talladega County, Alabama",31923
0500000US01125,"Tuscaloosa County, Alabama",67721
0500000US01127,"Walker County, Alabama",26108
0500000US02020,"Anchorage Municipality, Alaska",105569
0500000US02090,"Fairbanks North Star Borough, Alaska",35944
0500000US02170,"Matanuska-Susitna Borough, Alaska",31483
0500000US04001,"Apache County, Arizona",19634
0500000US04003,"Cochise County, Arizona",49983
0500000US04005,"Coconino County, Arizona",46366
0500000US04013,"Maricopa County, Arizona",1424393
0500000US04015,"Mohave County, Arizona",79239
0500000US04017,"Navajo County, Arizona",35488
0500000US04019,"Pima County, Arizona",386104
0500000US04021,"Pinal County, Arizona",126874
0500000US04025,"Yavapai County, Arizona",93697
0500000US04027,"Yuma County, Arizona",70895
0500000US05007,"Benton County, Arkansas",84026
0500000US05031,"Craighead County, Arkansas",38421
0500000US05045,"Faulkner County, Arkansas",43709
0500000US05051,"Garland County, Arkansas",40656
0500000US05069,"Jefferson County, Arkansas",28013
0500000US05085,"Lonoke County, Arkansas",25384
0500000US05119,"Pulaski County, Arkansas",155125
0500000US05125,"Saline County, Arkansas",42534
0500000US05131,"Sebastian County, Arkansas",51394
0500000US05143,"Washington County, Arkansas",81423
0500000US05145,"White County, Arkansas",29089
0500000US06001,"Alameda County, California",548274
0500000US06007,"Butte County, California",85388
0500000US06013,"Contra Costa County, California",380397
0500000US06017,"El Dorado County, California",65558
0500000US06019,"Fresno County, California",292280
0500000US06023,"Humboldt County, California",52241
0500000US06025,"Imperial County, California",46747
0500000US06029,"Kern County, California",255967
0500000US06031,"Kings County, California",40376
0500000US06033,"Lake County, California",26228
0500000US06037,"Los Angeles County, California",3231660
0500000US06039,"Madera County, California",41035
0500000US06041,"Marin County, California",102427
0500000US06045,"Mendocino County, California",35203
0500000US06047,"Merced County, California",76451
0500000US06053,"Monterey County, California",124171
0500000US06055,"Napa County, California",48224
0500000US06057,"Nevada County, California",41632
0500000US06059,"Orange County, California",995368
0500000US06061,"Placer County, California",133093
0500000US06065,"Riverside County, California",685260
0500000US06067,"Sacramento County, California",516645
0500000US06071,"San Bernardino County, California",600688
0500000US06073,"San Diego County, California",1079653
0500000US06075,"San Francisco County, California",346842
0500000US06077,"San Joaquin County, California",215761
0500000US06079,"San Luis Obispo County, California",101897
0500000US06081,"San Mateo County, California",258888
0500000US06083,"Santa Barbara County, California",141639
0500000US06085,"Santa Clara County, California",613810
0500000US06087,"Santa Cruz County, California",93253
0500000US06089,"Shasta County, California",68165
0500000US06095,"Solano County, California",141139
0500000US06097,"Sonoma County, California",184348
0500000US06099,"Stanislaus County, California",167497
0500000US06101,"Sutter County, California",31259
0500000US06107,"Tulare County, California",132614
0500000US06111,"Ventura County, California",267877
0500000US06113,"Yolo County, California",71568
0500000US06115,"Yuba County, California",24842
0500000US08001,"Adams County, Colorado",153605
0500000US08005,"Arapahoe County, Colorado",226527
0500000US08013,"Boulder County, Colorado",121743
0500000US08031,"Denver County, Colorado",270439
0500000US08035,"Douglas County, Colorado",105044
0500000US08041,"El Paso County, Colorado",238094
0500000US08059,"Jefferson County, Colorado",221457
0500000US08069,"Larimer County, Colorado",124031
0500000US08077,"Mesa County, Colorado",58779
0500000US08101,"Pueblo County, Colorado",62388
0500000US08123,"Weld County, Colorado",92447
0500000US09001,"Fairfield County, Connecticut",334255
0500000US09003,"Hartford County, Connecticut",346726
0500000US09005,"Litchfield County, Connecticut",75593
0500000US09007,"Middlesex County, Connecticut",67386
0500000US09009,"New Haven County, Connecticut",330054
0500000US09011,"New London County, Connecticut",105801
0500000US09013,"Tolland County, Connecticut",54830
0500000US09015,"Windham County, Connecticut",43167
0500000US10001,"Kent County, Delaware",59499
0500000US10003,"New Castle County, Delaware",202814
0500000US10005,"Sussex County, Delaware",77995
0500000US11001,"District of Columbia, District of Columbia",266662
0500000US12001,"Alachua County, Florida",93245
0500000US12005,"Bay County, Florida",68653
0500000US12009,"Brevard County, Florida",218094
0500000US12011,"Broward County, Florida",663905
0500000US12015,"Charlotte County, Florida",71811
0500000US12017,"Citrus County, Florida",58640
0500000US12019,"Clay County, Florida",66918
0500000US12021,"Collier County, Florida",123714
